idSite,site_name,adf_stat,adf_pvalue,adf_conclusion,kpss_c_stat,kpss_c_pvalue,kpss_c_conclusion,kpss_ct_stat,kpss_ct_pvalue,kpss_ct_conclusion
01_RICHMOND,Richmond Lock,-6.363281485740129,2.4445424850744233e-08,stationary,0.46646616501434013,0.04921933220397746,non-stationary,0.13979740432609888,0.06148628828500205,stationary
02_CHELSEA,Chelsea Bridge,-9.762023278114194,7.5189708077109e-17,stationary,0.6110296944185717,0.021633664143766208,non-stationary,0.2307672630194315,0.01,non-stationary
03_LONDONBRIDGE,London Bridge (Tower Pier),-9.687160508450049,1.162285940724619e-16,stationary,6.540115890572914,0.01,non-stationary,0.16783645736373648,0.03180295219688626,non-stationary
04_CHARLTON,Charlton (Cory's),-11.10728969488571,3.7352273289883865e-20,stationary,0.05345917453019305,0.1,stationary,0.03480094143902126,0.1,stationary
05_NORTHWOOLWICH,North Woolwich (Silvertown),-10.681636577373421,3.9266629690404143e-19,stationary,1.9024980282566486,0.01,non-stationary,0.041975410289790335,0.1,stationary
06_ERITH,Erith (Erith Pier),-6.549354513234147,8.931540554664154e-09,stationary,2.490655506330704,0.01,non-stationary,0.3804017435595676,0.01,non-stationary
07_TILBURY,Tilbury (NHCT),-7.786822076966865,8.137932442545061e-12,stationary,6.756721818623611,0.01,non-stationary,0.8486547870435108,0.01,non-stationary
08_GRAVESEND,Gravesend (Denton),-9.20675583996665,1.935605517490812e-15,stationary,3.875043223138333,0.01,non-stationary,0.29761469364825854,0.01,non-stationary
09a_CORYTON_THAMESHAVEN,Coryton (Thameshaven),-7.597617429065607,2.4366754546155608e-11,stationary,0.5684959391699406,0.026239653340103468,non-stationary,0.04961490273536187,0.1,stationary
09b_CORYTON_NO5JETTY,Coryton (No5 Jetty),-8.006929757504833,2.2546150687407852e-12,stationary,0.8853279782558349,0.01,non-stationary,0.1733887249321898,0.0271760625565085,non-stationary
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),-7.17342428913451,2.766458658738286e-10,stationary,0.8714622169390001,0.01,non-stationary,0.1390396284348569,0.0628895769724872,stationary
10_SOUTHEND,Southend Pier,-6.806306126365097,2.1723322574847524e-09,stationary,8.36031515821924,0.01,non-stationary,0.30054195668511025,0.01,non-stationary
11_SHIVERINGSANDS,Shivering Sands (F1 Pile),-8.3446891902717,3.1082241731723217e-13,stationary,5.169783055214006,0.01,non-stationary,0.7134653491051607,0.01,non-stationary
12a_MARGATE_HARBOUR,Margate Harbour,-6.671380417894197,4.578617629361768e-09,stationary,5.231707470781937,0.01,non-stationary,1.3616440755658161,0.01,non-stationary
12b_MARGATE_PILE,Margate Pile,-6.147322456089906,7.710863083943277e-08,stationary,1.3453925223850236,0.01,non-stationary,0.4347182212834479,0.01,non-stationary
13_WALTON,Walton on the Naze,-9.168082667719023,2.4298962870755693e-15,stationary,4.596657898725523,0.01,non-stationary,0.428228818204188,0.01,non-stationary
