idSite,site_name,block_start,block_end,n_rows,days,short_block
01_RICHMOND,Richmond Lock,2009-08-24 23:30:00,2010-08-14 11:00:00,51046,354.5,False
02_CHELSEA,Chelsea Bridge,2014-02-20 15:50:00,2016-02-18 13:30:00,104819,727.9,False
03_LONDONBRIDGE,London Bridge (Tower Pier),2014-07-09 10:00:00,2015-11-10 15:50:00,70452,489.2,False
04_CHARLTON,Charlton (Cory's),2013-02-06 09:50:00,2013-07-31 23:20:00,25282,175.6,False
05_NORTHWOOLWICH,North Woolwich (Silvertown),2014-05-20 11:30:00,2015-04-12 23:30:00,47161,327.5,False
06_ERITH,Erith (Erith Pier),2013-09-29 17:10:00,2013-12-13 21:30:00,10827,75.2,True
07_TILBURY,Tilbury (NHCT),2017-06-10 20:00:00,2019-06-11 18:50:00,105258,731.0,False
08_GRAVESEND,Gravesend (Denton),2018-07-14 13:00:00,2022-08-25 07:20:00,216399,1502.8,False
09a_CORYTON_THAMESHAVEN,Coryton (Thameshaven),2018-01-01 00:00:00,2021-08-13 09:50:00,190140,1320.4,False
09b_CORYTON_NO5JETTY,Coryton (No5 Jetty),2014-08-11 20:20:00,2014-12-09 21:10:00,17286,120.0,False
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2016-05-07 22:30:00,2017-11-30 16:00:00,82330,571.7,False
10_SOUTHEND,Southend Pier,2016-07-18 10:50:00,2022-08-25 07:20:00,320956,2228.9,False
11_SHIVERINGSANDS,Shivering Sands (F1 Pile),2019-10-13 14:10:00,2022-03-02 06:40:00,125380,870.7,False
12a_MARGATE_HARBOUR,Margate Harbour,2016-03-27 21:00:00,2016-11-24 15:30:00,34816,241.8,False
12b_MARGATE_PILE,Margate Pile,2020-01-01 00:00:00,2021-12-31 23:50:00,105264,731.0,False
13_WALTON,Walton on the Naze,2018-03-09 13:20:00,2020-06-29 11:50:00,121384,842.9,False
